source,source_type,target,target_type,edge_type
A1,Author,P1,Paper,Write
A1,Author,P2,Paper,Write
A2,Author,P1,Paper,Write
A2,Author,P2,Paper,Write
A2,Author,P3,Paper,Write
A3,Author,P2,Paper,Write
A3,Author,P3,Paper,Write
A4,Author,P3,Paper,Write
A4,Author,P4,Paper,Write
P1,Paper,P2,Paper,Cite
P2,Paper,P3,Paper,Cite
P3,Paper,P4,Paper,Cite
P1,Paper,V1,Venue,Published_In
P2,Paper,V1,Venue,Published_In
P3,Paper,V2,Venue,Published_In
P4,Paper,V2,Venue,Published_In
A1,Author,I1,Institution,Affiliated_With
A2,Author,I1,Institution,Affiliated_With
A3,Author,I2,Institution,Affiliated_With
A4,Author,I2,Institution,Affiliated_With
